P,PdVPr,x,x1,x2,y,y1,y2
AVA,LR(0) v DL(0),761,380,380,-978,-576,-402
AVE,LR(0) v DL(1/3),294,151,142,-228,-114,-114
AVS,LR(0) v DL(1),170,79,90,-141,-73,-68
EVA,LR(1/3) v DL(0),3591,1795,1795,-3165,-2107,-1058
EVE,LR(1/3) v DL(1/3),849,424,424,-633,-316,-316
EVS,LR(1/3) v DL(1),427,213,213,-340,-231,-109
SVA,LR(1) v DL(0),3863,3352,510,-3111,-1840,-1271
SVE,LR(1) v DL(1/3),976,680,295,-661,-330,-330
SVS,LR(1) v DL(1),723,479,243,-494,-285,-208
AVA,MD(0) v LR(0),665,335,330,-5462,-2543,-2918
AVE,MD(0) v LR(1/3),898,435,462,-2565,-1282,-1282
AVS,MD(0) v LR(1),412,220,192,-2632,-94,-2538
EVA,MD(1/3) v LR(0),6011,3005,3005,-6796,-3711,-3084
EVE,MD(1/3) v LR(1/3),3674,1837,1837,-4432,-2216,-2216
EVS,MD(1/3) v LR(1),3184,1592,1592,-4020,-203,-3817
SVA,MD(1) v LR(0),7953,3775,4178,-8063,-5249,-2814
SVE,MD(1) v LR(1/3),6237,4290,1946,-6159,-3079,-3079
SVS,MD(1) v LR(1),5611,2913,2697,-5367,-252,-5115
AVA,DL(0) v DD(0),1600,852,748,-1629,-782,-848
AVE,DL(0) v DD(0.5),295,127,168,-237,-119,-119
AVS,DL(0) v DD(1),240,125,114,-190,-98,-92
EVA,DL(0.5) v DD(0),4946,2473,2473,-3868,-2036,-1833
EVE,DL(0.5) v DD(0.5),1583,791,791,-1125,-563,-563
EVS,DL(0.5) v DD(1),831,415,415,-622,-517,-106
SVA,DL(1) v DD(0),8619,4329,4289,-5915,-2676,-3240
SVE,DL(1) v DD(0.5),2519,1183,1335,-1598,-799,-799
SVS,DL(1) v DD(1),1438,641,797,-973,-510,-463
AVA,ML(0) v MM(0),914,458,456,-1470,-781,-689
AVE,ML(0) v MM(0.5),370,196,173,-273,-137,-137
AVS,ML(0) v MM(1),182,92,89,-156,-83,-73
EVA,ML(0.5) v MM(0),4120,2060,2060,-3600,-920,-2681
EVE,ML(0.5) v MM(0.5),1677,838,838,-1139,-570,-570
EVS,ML(0.5) v MM(1),499,249,249,-412,-249,-164
SVA,ML(1) v MM(0),9850,5110,4740,-6386,-3185,-3202
SVE,ML(1) v MM(0.5),1855,896,958,-1266,-633,-633
SVS,ML(1) v MM(1),1239,599,639,-880,-367,-513
AVA,MR(0) v LL(0),744,365,379,-1117,-573,-545
AVE,MR(0) v LL(0.5),297,150,146,-217,-109,-109
AVS,MR(0) v LL(1),206,105,100,-169,-84,-85
EVA,MR(0.5) v LL(0),2700,1350,1350,-2702,-1856,-846
EVE,MR(0.5) v LL(0.5),635,317,317,-484,-242,-242
EVS,MR(0.5) v LL(1),388,194,194,-309,-213,-96
SVA,MR(1) v LL(0),3608,3141,466,-3159,-994,-2166
SVE,MR(1) v LL(0.5),990,657,332,-680,-340,-340
SVS,MR(1) v LL(1),496,365,131,-371,-93,-279
AVA,MM(0) v MM(0),964,497,466,-1443,-713,-730
AVE,MM(0) v MM(0.5),329,128,201,-244,-122,-122
AVS,MM(0) v MM(1),176,92,83,-165,-82,-83
EVA,MM(0.5) v MM(0),3500,1750,1750,-3486,-2616,-871
EVE,MM(0.5) v MM(0.5),1195,597,597,-916,-458,-458
EVS,MM(0.5) v MM(1),764,382,382,-596,-252,-344
SVA,MM(1) v MM(0),9919,5087,4831,-6465,-2952,-3513
SVE,MM(1) v MM(0.5),1863,1023,840,-1257,-629,-629
SVS,MM(1) v MM(1),1113,576,537,-769,-308,-462
AVA,LR(0)  v DD(0),734,375,359,-1212,-461,-751
AVE,LR(0)  v DD(0.5),369,173,196,-266,-133,-133
AVS,LR(0)  v DD(1),214,99,115,-178,-89,-90
EVA,LR(0.5) v DD(0),3611,1805,1805,-3397,-2217,-1180
EVE,LR(0.5) v DD(0.5),995,497,497,-740,-370,-370
EVS,LR(0.5) v DD(1),481,240,240,-354,-264,-91
SVA,LR(1) v DD(0),3620,3143,477,-3004,-2081,-923
SVE,LR(1) v DD(0.5),1300,892,407,-868,-434,-434
SVS,LR(1) v DD(1),648,474,173,-439,-236,-204
AVA,LL(0) v MR(0),709,347,361,-4436,-2053,-2384
AVE,LL(0) v MR(0.5),928,421,507,-2824,-1412,-1412
AVS,LL(0) v MR(1),447,229,217,-2414,-80,-2335
EVA,LL(0.5) v MR(0),3096,1548,1548,-6098,-2311,-3787
EVE,LL(0.5) v MR(0.5),3585,1792,1792,-4509,-2255,-2255
EVS,LL(0.5) v MR(1),4090,2045,2045,-4519,-234,-4286
SVA,LL(1) v MR(0),7609,4070,3538,-7648,-5435,-2213
SVE,LL(1) v MR(0.5),8409,4743,3665,-5896,-2948,-2948
SVS,LL(1) v MR(1),6859,3363,3496,-5446,-296,-5150
AVA,RR(0) v ML(0),790,377,412,-1547,-837,-711
AVE,RR(0) v ML(0.5),294,160,133,-219,-110,-110
AVS,RR(0) v ML(1),195,105,89,-155,-80,-76
EVA,RR(0.5) v ML(0),610,305,305,-1003,-506,-497
EVE,RR(0.5) v ML(0.5),393,196,196,-288,-144,-144
EVS,RR(0.5) v ML(1),177,88,88,-152,-75,-77
SVA,RR(1) v ML(0),649,266,383,-1349,-631,-718
SVE,RR(1) v ML(0.5),333,182,150,-230,-115,-115
SVS,RR(1) v ML(1),218,94,124,-163,-86,-78
AVA,MD(0) v MD(0),919,482,437,-1353,-723,-630
AVE,MD(0) v MD(0.5),272,154,118,-221,-111,-111
AVS,MD(0) v MD(1),206,101,105,-180,-87,-94
EVA,MD(0.5) v MD(0),4252,2126,2126,-3390,-708,-2683
EVE,MD(0.5) v MD(0.5),1458,729,729,-1023,-512,-512
EVS,MD(0.5) v MD(1),758,379,379,-580,-155,-426
SVA,MD(1) v MD(0),5812,3220,2591,-4658,-1470,-3189
SVE,MD(1) v MD(0.5),1917,968,948,-1261,-631,-631
SVS,MD(1) v MD(1),1179,614,565,-824,-349,-476
AVA,DR(0) v DD(0),877,424,453,-1601,-824,-777
AVE,DR(0) v DD(0.5),329,151,178,-251,-126,-126
AVS,DR(0) v DD(1),197,92,104,-184,-84,-100
EVA,DR(0.5) v DD(0),4533,2266,2266,-4820,-1712,-3108
EVE,DR(0.5) v DD(0.5),909,454,454,-650,-325,-325
EVS,DR(0.5) v DD(1),503,251,251,-396,-197,-199
SVA,DR(1) v DD(0),4769,4245,523,-3749,-1931,-1819
SVE,DR(1) v DD(0.5),1069,747,322,-717,-359,-359
SVS,DR(1) v DD(1),633,479,153,-450,-214,-237
AVA,RL(0) v RR(0),596,305,290,-4838,-2292,-2546
AVE,RL(0) v RR(0.5),567,277,289,-4258,-2129,-2129
AVS,RL(0) v RR(1),596,311,284,-4639,-2114,-2526
EVA,RL(0.5) v RR(0),2454,1227,1227,-5810,-2568,-3243
EVE,RL(0.5) v RR(0.5),2510,1255,1255,-6526,-3263,-3263
EVS,RL(0.5) v RR(1),2447,1223,1223,-5453,-2101,-3352
SVA,RL(1) v RR(0),4450,443,4007,-7219,-3438,-3781
SVE,RL(1) v RR(0.5),4194,463,3731,-7276,-3638,-3638
SVS,RL(1) v RR(1),4109,401,3708,-6828,-3738,-3091
AVA,ML(0) v LR(0),591,292,299,-6202,-2654,-3548
AVE,ML(0) v LR(0.5),1241,629,612,-2899,-1450,-1450
AVS,ML(0) v LR(1),499,229,269,-2684,-102,-2582
EVA,ML(0.5) v LR(0),4231,2115,2115,-5573,-2009,-3564
EVE,ML(0.5) v LR(0.5),3372,1686,1686,-4102,-2051,-2051
EVS,ML(0.5) v LR(1),3167,1583,1583,-4356,-117,-4240
SVA,ML(1) v LR(0),6136,2725,3411,-7241,-3134,-4107
SVE,ML(1) v LR(0.5),7354,3482,3871,-6526,-3263,-3263
SVS,ML(1) v LR(1),7080,3514,3566,-6005,-255,-5751
AVA,LR(0) v DR(0),557,278,279,-6669,-2607,-4062
AVE,LR(0) v DR(0.5),667,333,333,-2521,-1261,-1261
AVS,LR(0) v DR(1),393,194,198,-2510,-89,-2421
EVA,LR(0.5) v DR(0),3217,1608,1608,-6440,-3985,-2456
EVE,LR(0.5) v DR(0.5),2615,1307,1307,-3545,-1773,-1773
EVS,LR(0.5) v DR(1),2342,1171,1171,-3236,-151,-3086
SVA,LR(1) v DR(0),2478,2094,383,-6242,-2336,-3907
SVE,LR(1) v DR(0.5),2408,1985,422,-3220,-1610,-1610
SVS,LR(1) v DR(1),4605,4222,382,-4169,-184,-3986
AVA,DR(0) v MR(0),580,273,307,-6014,-2757,-3258
AVE,DR(0) v MR(0.5),836,394,441,-2177,-1089,-1089
AVS,DR(0) v MR(1),358,174,184,-2979,-97,-2883
EVA,DR(0.5) v MR(0),3947,1973,1973,-6502,-3737,-2765
EVE,DR(0.5) v MR(0.5),3123,1561,1561,-4502,-2251,-2251
EVS,DR(0.5) v MR(1),3071,1535,1535,-3050,-133,-2918
SVA,DR(1) v MR(0),4525,4025,499,-6723,-4112,-2612
SVE,DR(1) v MR(0.5),2536,2183,353,-4036,-2018,-2018
SVS,DR(1) v MR(1),3899,3555,343,-4206,-153,-4054
AVA,ML(0)  v DL(0),981,512,468,-1629,-1148,-482
AVE,ML(0)  v DL(0.5),400,197,202,-287,-144,-144
AVS,ML(0)  v DL(1),219,107,111,-176,-88,-89
EVA,ML(0.5) v DL(0),4575,2287,2287,-3726,-1951,-1775
EVE,ML(0.5) v DL(0.5),1435,717,717,-976,-488,-488
EVS,ML(0.5) v DL(1),792,396,396,-606,-485,-122
SVA,ML(1) v DL(0),9002,4450,4551,-6126,-3961,-2165
SVE,ML(1) v DL(0.5),2006,1057,948,-1378,-689,-689
SVS,ML(1) v DL(1),1244,565,679,-873,-522,-351
AVA,MD(0) v LR(0),609,311,298,-5818,-2404,-3414
AVE,MD(0) v LR(0.5),1046,529,517,-2743,-1372,-1372
AVS,MD(0) v LR(1),449,251,197,-1941,-98,-1843
EVA,MD(0.5) v LR(0),4916,2458,2458,-6589,-3404,-3185
EVE,MD(0.5) v LR(0.5),3921,1960,1960,-4581,-2291,-2291
EVS,MD(0.5) v LR(1),3042,1521,1521,-3754,-243,-3512
SVA,MD(1) v LR(0),7781,3923,3858,-8012,-4290,-3722
SVE,MD(1) v LR(0.5),8418,4351,4066,-6310,-3155,-3155
SVS,MD(1) v LR(1),6388,3236,3152,-5851,-205,-5647
AVA,DD(0) v MM(0),800,417,383,-1293,-704,-589
AVE,DD(0) v MM(0.5),326,169,156,-249,-125,-125
AVS,DD(0) v MM(1),200,106,94,-174,-88,-86
EVA,DD(0.5) v MM(0),1540,770,770,-1041,-521,-521
EVE,DD(0.5) v MM(0.5),1187,593,593,-854,-427,-427
EVS,DD(0.5) v MM(1),756,378,378,-616,-256,-360
SVA,DD(1) v MM(0),7474,4106,3367,-5526,-1518,-4008
SVE,DD(1) v MM(0.5),1710,807,903,-1077,-539,-539
SVS,DD(1) v MM(1),1018,537,481,-717,-319,-399
AVA,DD(0) v RL(0),688,347,340,-4525,-2207,-2319
AVE,DD(0) v RL(0.5),765,379,386,-3016,-1508,-1508
AVS,DD(0) v RL(1),474,224,249,-1939,-1845,-94
EVA,DD(0.5) v RL(0),5903,2951,2951,-8058,-3216,-4842
EVE,DD(0.5) v RL(0.5),5126,2563,2563,-4645,-2323,-2323
EVS,DD(0.5) v RL(1),5234,2617,2617,-4946,-4850,-96
SVA,DD(1) v RL(0),7089,3457,3632,-7949,-3193,-4756
SVE,DD(1) v RL(0.5),6242,4255,1987,-5440,-2720,-2720
SVS,DD(1) v RL(1),4764,2958,1805,-4564,-4228,-337
AVA,MR(0) v LR(0),546,282,263,-6544,-2826,-3719
AVE,MR(0) v LR(0.5),677,337,340,-2312,-1156,-1156
AVS,MR(0) v LR(1),415,209,206,-2378,-79,-2299
EVA,MR(0.5) v LR(0),2002,1001,1001,-6788,-3551,-3238
EVE,MR(0.5) v LR(0.5),3038,1519,1519,-4213,-2107,-2107
EVS,MR(0.5) v LR(1),2549,1274,1274,-3791,-87,-3705
SVA,MR(1) v LR(0),4284,3796,488,-5640,-4030,-1611
SVE,MR(1) v LR(0.5),2822,2422,400,-3720,-1860,-1860
SVS,MR(1) v LR(1),3686,3318,368,-4220,-204,-4017
