PdVPr,x,x1,x2,y,y1,y2
LR(0) v DL(0),761,380,380,-978,-576,-402
LR(0) v DL(0.1),699,355,343,-717,-378,-340
LR(0) v DL(0.3),699,369,329,-575,-295,-281
LR(0) v DL(0.5),294,151,142,-228,-114,-114
LR(0) v DL(0.7),196,86,109,-156,-79,-78
LR(0) v DL(0.9),173,81,92,-154,-83,-71
LR(0) v DL(1),170,79,90,-141,-73,-68
LR(0.1) v DL(0),814,368,446,-1170,-704,-467
LR(0.1) v DL(0.1),785,361,424,-768,-376,-392
LR(0.1) v DL(0.3),708,345,362,-515,-250,-265
LR(0.1) v DL(0.5),398,196,202,-294,-147,-147
LR(0.1) v DL(0.7),190,86,103,-161,-83,-78
LR(0.1) v DL(0.9),206,93,113,-162,-79,-83
LR(0.1) v DL(1),175,86,88,-147,-75,-72
LR(0.3) v DL(0),796,376,420,-1482,-1072,-411
LR(0.3) v DL(0.1),1109,475,634,-939,-529,-410
LR(0.3) v DL(0.3),938,413,525,-706,-361,-346
LR(0.3) v DL(0.5),309,148,161,-243,-122,-122
LR(0.3) v DL(0.7),212,107,104,-171,-90,-81
LR(0.3) v DL(0.9),203,95,107,-153,-78,-76
LR(0.3) v DL(1),292,131,161,-238,-119,-119
LR(0.5) v DL(0),3591,1795,1795,-3165,-2107,-1058
LR(0.5) v DL(0.1),3077,1538,1538,-2198,-1620,-579
LR(0.5) v DL(0.3),2421,1210,1210,-1712,-771,-941
LR(0.5) v DL(0.5),849,424,424,-633,-316,-316
LR(0.5) v DL(0.7),557,278,278,-401,-226,-175
LR(0.5) v DL(0.9),571,285,285,-389,-278,-112
LR(0.5) v DL(1),427,213,213,-340,-231,-109
LR(0.7) v DL(0),4308,2772,1536,-3293,-2272,-1022
LR(0.7) v DL(0.1),4584,2987,1597,-3074,-1940,-1135
LR(0.7) v DL(0.3),3128,2003,1125,-2004,-923,-1082
LR(0.7) v DL(0.5),1145,687,458,-759,-380,-380
LR(0.7) v DL(0.7),773,464,308,-531,-293,-238
LR(0.7) v DL(0.9),621,384,237,-434,-251,-183
LR(0.7) v DL(1),615,368,247,-426,-265,-162
LR(0.9) v DL(0),3088,2411,677,-2733,-1147,-1587
LR(0.9) v DL(0.1),2624,1974,649,-2134,-856,-1279
LR(0.9) v DL(0.3),2482,1843,639,-1731,-819,-912
LR(0.9) v DL(0.5),1106,735,371,-752,-376,-376
LR(0.9) v DL(0.7),725,521,203,-480,-243,-238
LR(0.9) v DL(0.9),575,395,179,-402,-240,-163
LR(0.9) v DL(1),600,421,178,-440,-260,-180
