x,y
761,-978
294,-228
170,-141
665,-5462
898,-2565
412,-2632
1600,-1629
295,-237
240,-190
914,-1470
370,-273
182,-156
744,-1117
297,-217
206,-169
964,-1443
329,-244
176,-165
734,-1212
369,-266
214,-178
709,-4436
928,-2824
447,-2414
790,-1547
294,-219
195,-155
919,-1353
272,-221
206,-180
877,-1601
329,-251
197,-184
596,-4838
567,-4258
596,-4639
591,-6202
1241,-2899
499,-2684
557,-6669
667,-2521
393,-2510
580,-6014
836,-2177
358,-2979
981,-1629
400,-287
219,-176
609,-5818
1046,-2743
449,-1941
800,-1293
326,-249
200,-174
688,-4525
765,-3016
474,-1939
546,-6544
677,-2312
415,-2378
2078,-7518
2384,-6025
2220,-4219
2180,-6610
2497,-4889
1720,-6576
4168,-2523
2298,-1002
1253,-547
2654,-1907
2257,-867
1719,-665
1935,-8670
2532,-4857
1729,-5167
2772,-2294
2243,-954
1287,-574
2755,-3917
2617,-3335
1597,-2391
2251,-7043
2280,-5587
1960,-4567
3039,-4440
2344,-953
1728,-2155
2709,-2075
2344,-953
1537,-598
3203,-2382
2171,-954
1207,-520
2774,-3439
2866,-3173
1598,-3145
2838,-2086
2125,-907
1240,-523
2315,-4715
2403,-3333
1537,-2701
2562,-1918
2175,-921
1181,-498
3124,-2468
2068,-910
1305,-564
2019,-8600
2269,-6700
2029,-5335
2369,-4937
2655,-2864
1826,-2625
2542,-2235
2292,-947
1329,-546
1898,-9105
1992,-7924
2090,-6072
2594,-1905
2191,-918
1499,-619
2330,-4324
2444,-3537
1723,-2725
2715,-5089
2659,-3257
1883,-2428
2829,-1935
2158,-904
1177,-516
2592,-3821
3090,-2516
1681,-2916
2517,-1779
2126,-860
1213,-506
2110,-7012
2177,-5360
2085,-4765
3560,-3747
2861,-4211
1658,-2439
3140,-2739
2306,-978
1089,-491
2349,-5079
2690,-3160
1690,-2372
2436,-5009
2649,-3154
1584,-2576
2469,-4333
2543,-3332
1939,-2416
2481,-4891
3113,-2852
1518,-3432
3302,-4342
2656,-4447
1659,-2693
3154,-2558
2054,-890
1212,-531
2447,-4219
2798,-3272
1763,-2453
2772,-2090
1994,-862
1209,-527
2541,-2039
2357,-975
1366,-576
2641,-1989
2413,-1005
1300,-531
2555,-1940
2187,-922
1468,-604
