P,x,x1,x2,x3,y
LR(0) v DL(0),761,151,142,0,-978
MD(0) v LR(0),665,435,462,0,-5462
DL(0) v DD(0),1600,127,168,0,-1629
ML(0) v MM(0),914,196,173,0,-1470
MR(0) v LL(0),744,150,146,0,-1117
MM(0) v MM(0),964,128,201,0,-1443
LR(0)  v DD(0),734,173,196,0,-1212
LL(0) v MR(0),709,421,507,0,-4436
RR(0) v ML(0),790,160,133,0,-1547
MD(0) v MD(0),919,154,118,0,-1353
DR(0) v DD(0),877,151,178,0,-1601
RL(0) v RR(0),596,277,289,0,-4838
ML(0) v LR(0),591,629,612,0,-6202
LR(0) v DR(0),557,333,333,0,-6669
DR(0) v MR(0),580,394,441,0,-6014
ML(0)  v DL(0),981,197,202,0,-1629
MD(0) v LR(0),609,529,517,0,-5818
DD(0) v MM(0),800,169,156,0,-1293
DD(0) v RL(0),688,379,386,0,-4525
MR(0) v LR(0),546,337,340,0,-6544
MMM(0) v LRR(0),2078,688,692,698,-7518
DDD(0) v DRR(0),2180,732,742,704,-6610
LLL(0) v DDD(0),4168,1375,1470,1323,-2523
RRR(0) v MMM(0),2654,886,860,908,-1907
MLL(0) v DRR(0),1935,666,606,663,-8670
MMD(0) v MMM(0),2772,922,977,873,-2294
MML(0) v MDR(0),2755,912,878,964,-3917
LLD(0) v LRR(0),2251,758,753,738,-7043
DDL(0) v LDR(0),3039,1023,1018,997,-4440
MMR(0) v LLL(0),2709,903,873,931,-2075
MMR(0) v DDD(0),3203,1007,1013,1182,-2382
DDR(0) v DRL(0),2774,894,923,955,-3439
DRR(0) v DDL(0),2838,868,998,971,-2086
LRR(0) v MDR(0),2315,794,756,764,-4715
LLR(0)  v DLL(0),2562,843,854,864,-1918
MDD(0) v MMM(0),3124,1057,1022,1044,-2468
MDL(0) v MRR(0),2019,684,667,668,-8600
DLR(0) v MRL(0),2369,741,826,801,-4937
MDR(0) v MLL(0),2542,888,801,852,-2235
LLR(0) v RRR(0),1898,612,644,642,-9105
MDR(0) v MMD(0),2594,897,840,856,-1905
DLR(0) v MDR(0),2330,751,809,770,-4324
DLL(0) v MLR(0),2715,909,888,916,-5089
DLR(0) v DDL(0),2829,901,934,993,-1935
MDR(0) v MLR(0),2592,863,820,908,-3821
LRR(0) v DLL(0),2517,868,851,797,-1779
MLR(0) v MRR(0),2110,705,694,710,-7012
MDL(0) v MLR(0),3560,1173,1197,1189,-3747
MLR(0) v DDD(0),3140,992,1030,1118,-2739
MDR(0) v MMR(0),2349,793,768,786,-5079
MMR(0) v MDR(0),2436,800,829,806,-5009
MLR(0) v MLR(0),2469,790,870,807,-4333
MDD(0) v LLR(0),2481,820,837,823,-4891
MDL(0) v LDR(0),3302,1113,1086,1102,-4342
MDD(0) v MLL(0),3154,1036,1069,1047,-2558
MDR(0) v LDR(0),2447,844,803,799,-4219
MLR(0) v MDD(0),2772,911,889,971,-2090
LLR(0) v MML(0),2541,848,845,846,-2039
MDR(0) v DLL(0),2641,890,841,909,-1989
DLR(0) v MDL(0),2555,807,884,863,-1940
