P,x,x1,x2,x3,y
LR(0) v DL(0.5),294,151,142,0,-228
MD(0) v LR(0.5),898,435,462,0,-2565
DL(0) v DD(0.5),295,127,168,0,-237
ML(0) v MM(0.5),370,196,173,0,-273
MR(0) v LL(0.5),297,150,146,0,-217
MM(0) v MM(0.5),329,128,201,0,-244
LR(0) v DD(0.5),369,173,196,0,-266
LL(0) v MR(0.5),928,421,507,0,-2824
RR(0) v ML(0.5),294,160,133,0,-219
MD(0) v MD(0.5),272,154,118,0,-221
DR(0) v DD(0.5),329,151,178,0,-251
RL(0) v RR(0.5),567,277,289,0,-4258
ML(0) v LR(0.5),1241,629,612,0,-2899
LR(0) v DR(0.5),667,333,333,0,-2521
DR(0) v MR(0.5),836,394,441,0,-2177
ML(0) v DL(0.5),400,197,202,0,-287
MD(0) v LR(0.5),1046,529,517,0,-2743
DD(0) v MM(0.5),326,169,156,0,-249
DD(0) v RL(0.5),765,379,386,0,-3016
MR(0) v LR(0.5),677,337,340,0,-2312
MMM(0) v LRR(1/3),2384,783,781,820,-6025
DDD(0) v DRR(1/3),2497,849,841,806,-4889
LLL(0) v DDD(1/3),2298,782,787,729,-1002
RRR(0) v MMM(1/3),2257,738,746,773,-867
MLL(0) v DRR(1/3),2532,819,876,837,-4857
MMD(0) v MMM(1/3),2243,771,803,669,-954
MML(0) v MDR(1/3),2617,886,864,866,-3335
LLD(0) v LRR(1/3),2280,783,751,745,-5587
DDL(0) v LDR(1/3),2344,770,748,824,-953
MMR(0) v LLL(1/3),2344,770,748,824,-953
MMR(0) v DDD(1/3),2171,696,760,713,-954
DDR(0) v DRL(1/3),2866,911,935,1019,-3173
DRR(0) v DDL(1/3),2125,686,741,697,-907
LRR(0) v MDR(1/3),2403,793,814,795,-3333
LLR(0)  v DLL(1/3),2175,722,728,724,-921
MDD(0) v MMM(1/3),2068,723,656,688,-910
MDL(0) v MRR(1/3),2269,764,739,765,-6700
DLR(0) v MRL(1/3),2655,827,931,897,-2864
MDR(0) v MLL(1/3),2292,788,737,767,-947
LLR(0) v RRR(1/3),1992,668,681,642,-7924
MDR(0) v MMD(1/3),2191,772,684,735,-918
DLR(0) v MDR(1/3),2444,789,831,823,-3537
DLL(0) v MLR(1/3),2659,863,934,861,-3257
DLR(0) v DDL(1/3),2158,661,781,714,-904
MDR(0) v MLR(1/3),3090,976,994,1119,-2516
LRR(0) v DLL(1/3),2126,727,713,686,-860
MLR(0) v MRR(1/3),2177,733,727,715,-5360
MDL(0) v MLR(1/3),2861,1018,944,898,-4211
MLR(0) v DDD(1/3),2306,786,729,791,-978
MDR(0) v MMR(1/3),2690,870,848,971,-3160
MMR(0) v MDR(1/3),2649,850,878,920,-3154
MLR(0) v MLR(1/3),2543,840,825,877,-3332
MDD(0) v LLR(1/3),3113,1034,1008,1070,-2852
MDL(0) v LDR(1/3),2656,888,859,908,-4447
MDD(0) v MLL(1/3),2054,708,677,667,-890
MDR(0) v LDR(1/3),2798,943,856,997,-3272
MLR(0) v MDD(1/3),1994,670,687,636,-862
LLR(0) v MML(1/3),2357,776,817,763,-975
MDR(0) v DLL(1/3),2413,798,791,823,-1005
DLR(0) v MDL(1/3),2187,702,757,728,-922
