P,x,x1,x2,x3,y
LR(0) v DL(1),170,79,90,0,-141
MD(0) v LR(1),412,220,192,0,-2632
DL(0) v DD(1),240,125,114,0,-190
ML(0) v MM(1),182,92,89,0,-156
MR(0) v LL(1),206,105,100,0,-169
MM(0) v MM(1),176,92,83,0,-165
LR(0)  v DD(1),214,99,115,0,-178
LL(0) v MR(1),447,229,217,0,-2414
RR(0) v ML(1),195,105,89,0,-155
MD(0) v MD(1),206,101,105,0,-180
DR(0) v DD(1),197,92,104,0,-184
RL(0) v RR(1),596,311,284,0,-4639
ML(0) v LR(1),499,229,269,0,-2684
LR(0) v DR(1),393,194,198,0,-2510
DR(0) v MR(1),358,174,184,0,-2979
ML(0)  v DL(1),219,107,111,0,-176
MD(0) v LR(1),449,251,197,0,-1941
DD(0) v MM(1),200,106,94,0,-174
DD(0) v RL(1),474,224,249,0,-1939
MR(0) v LR(1),415,209,206,0,-2378
MMM(0) v LRR(1),2220,705,734,780,-4219
DDD(0) v DRR(1),1720,570,579,570,-6576
LLL(0) v DDD(1),1253,444,400,409,-547
RRR(0) v MMM(1),1719,598,547,574,-665
MLL(0) v DRR(1),1729,577,589,563,-5167
MMD(0) v MMM(1),1287,449,420,418,-574
MML(0) v MDR(1),1597,508,544,543,-2391
LLD(0) v LRR(1),1960,633,681,646,-4567
DDL(0) v LDR(1),1728,579,585,563,-2155
MMR(0) v LLL(1),1537,532,476,528,-598
MMR(0) v DDD(1),1207,381,400,425,-520
DDR(0) v DRL(1),1598,506,530,562,-3145
DRR(0) v DDL(1),1240,345,447,447,-523
LRR(0) v MDR(1),1537,485,518,533,-2701
LLR(0)  v DLL(1),1181,396,392,393,-498
MDD(0) v MMM(1),1305,436,409,460,-564
MDL(0) v MRR(1),2029,629,689,710,-5335
DLR(0) v MRL(1),1826,654,608,564,-2625
MDR(0) v MLL(1),1329,445,389,493,-546
LLR(0) v RRR(1),2090,693,688,708,-6072
MDR(0) v MMD(1),1499,546,468,485,-619
DLR(0) v MDR(1),1723,599,561,562,-2725
DLL(0) v MLR(1),1883,606,661,616,-2428
DLR(0) v DDL(1),1177,413,366,397,-516
MDR(0) v MLR(1),1681,558,558,563,-2916
LRR(0) v DLL(1),1213,401,382,429,-506
MLR(0) v MRR(1),2085,683,704,697,-4765
MDL(0) v MLR(1),1658,551,577,528,-2439
MLR(0) v DDD(1),1089,345,376,367,-491
MDR(0) v MMR(1),1690,607,546,536,-2372
MMR(0) v MDR(1),1584,535,499,549,-2576
MLR(0) v MLR(1),1939,654,623,661,-2416
MDD(0) v LLR(1),1518,488,531,498,-3432
MDL(0) v LDR(1),1659,577,537,545,-2693
MDD(0) v MLL(1),1212,389,404,418,-531
MDR(0) v LDR(1),1763,581,556,625,-2453
MLR(0) v MDD(1),1209,425,363,420,-527
LLR(0) v MML(1),1366,435,448,482,-576
MDR(0) v DLL(1),1300,433,424,441,-531
DLR(0) v MDL(1),1468,473,487,508,-604
