y,x
2078,-7518
3385,-8046
12167,-10896
2180,-6610
4517,-7503
14807,-11301
4168,-2523
5805,-3654
17686,-7905
2654,-1907
2454,-1931
2509,-1897
1935,-8670
3732,-7858
11728,-10786
2772,-2294
7218,-4426
16006,-7298
2755,-3917
5889,-6144
15146,-8702
2251,-7043
3803,-9550
14125,-10150
3039,-4440
5762,-6136
16874,-9445
2709,-2075
5913,-3556
11275,-5660
3203,-2382
7767,-4356
13644,-6137
2774,-3439
5503,-5579
12392,-7600
2838,-2086
4422,-2759
7268,-3632
2315,-4715
3695,-5832
6954,-5119
2562,-1918
6591,-3805
13343,-5939
3124,-2468
5190,-3382
18614,-7963
2019,-8600
4137,-7869
10404,-7605
2369,-4937
8254,-5490
10404,-7605
2542,-2235
5565,-3654
13055,-6161
1898,-9105
2762,-8375
6495,-9892
2594,-1905
6385,-3475
13045,-5935
2330,-4324
7319,-5474
13279,-7774
2715,-5089
4826,-5769
17349,-9025
2829,-1935
5783,-3426
11123,-5291
2592,-3821
4417,-5343
12957,-8294
2517,-1779
3626,-2551
6883,-3327
2110,-7012
3254,-6545
7555,-9690
3560,-3747
8090,-6028
16588,-9400
3140,-2739
5841,-4990
12576,-5938
2349,-5079
5841,-4990
14298,-8122
2436,-5009
6372,-5458
10208,-7109
2469,-4333
4099,-6532
11377,-7629
2481,-4891
7236,-5866
19142,-9316
3302,-4342
5958,-5804
18368,-9196
3154,-2558
5301,-3593
18591,-7811
2447,-4219
5961,-5866
13593,-8014
2772,-2090
7494,-3701
14720,-6349
2541,-2039
5992,-3851
11977,-5825
2641,-1989
5901,-3486
13202,-6351
2555,-1940
6719,-3683
10737,-5144
761,-978
3591,-3165
3863,-3111
665,-5462
6011,-6796
7953,-8063
1600,-1629
4946,-3868
8619,-5915
914,-1470
4120,-3600
9850,-6386
744,-1117
2700,-2702
3608,-3159
964,-1443
3500,-3486
9919,-6465
734,-1212
3611,-3397
3620,-3004
709,-4436
3096,-6098
7609,-7648
790,-1547
610,-1003
649,-1349
919,-1353
4252,-3390
5812,-4658
877,-1601
4533,-4820
4769,-3749
596,-4838
2454,-5810
4450,-7219
591,-6202
4231,-5573
6136,-7241
557,-6669
3217,-6440
2478,-6242
580,-6014
3947,-6502
4525,-6723
981,-1629
4575,-3726
9002,-6126
609,-5818
4916,-6589
7781,-8012
800,-1293
1540,-1041
7474,-5526
688,-4525
5903,-8058
7089,-7949
546,-6544
2002,-6788
4284,-5640
