P,x,x1,x2,x3,y
LR(0.5) v DL(0),3591,1795,1795,0,-3165
MD(0.5) v LR(0),6011,3005,3005,0,-6796
DL(0.5) v DD(0),4946,2473,2473,0,-3868
ML(0.5) v MM(0),4120,2060,2060,0,-3600
MR(0.5) v LL(0),2700,1350,1350,0,-2702
MM(0.5) v MM(0),3500,1750,1750,0,-3486
LR(0.5) v DD(0),3611,1805,1805,0,-3397
LL(0.5) v MR(0),3096,1548,1548,0,-6098
RR(0.5) v ML(0),610,305,305,0,-1003
MD(0.5) v MD(0),4252,2126,2126,0,-3390
DR(0.5) v DD(0),4533,2266,2266,0,-4820
RL(0.5) v RR(0),2454,1227,1227,0,-5810
ML(0.5) v LR(0),4231,2115,2115,0,-5573
LR(0.5) v DR(0),3217,1608,1608,0,-6440
DR(0.5) v MR(0),3947,1973,1973,0,-6502
ML(0.5) v DL(0),4575,2287,2287,0,-3726
MD(0.5) v LR(0),4916,2458,2458,0,-6589
DD(0.5) v MM(0),1540,770,770,0,-1041
DD(0.5) v RL(0),5903,2951,2951,0,-8058
MR(0.5) v LR(0),2002,1001,1001,0,-6788
MMM(1/3) v LRR(0),3385,1128,1128,1128,-8046
DDD(1/3) v DRR(0),4517,1505,1505,1505,-7503
LLL(1/3) v DDD(0),5805,1935,1935,1935,-3654
RRR(1/3) v MMM(0),2454,818,818,818,-1931
MLL(1/3) v DRR(0),3732,1244,1244,1244,-7858
MMD(1/3) v MMM(0),7218,2406,2406,2406,-4426
MML(1/3) v MDR(0),5889,1963,1963,1963,-6144
LLD(1/3) v LRR(0),3803,1267,1267,1267,-9550
DDL(1/3) v LDR(0),5762,1920,1920,1920,-6136
MMR(1/3) v LLL(0),5913,1971,1971,1971,-3556
MMR(1/3) v DDD(0),7767,2589,2589,2589,-4356
DDR(1/3) v DRL(0),5503,1834,1834,1834,-5579
DRR(1/3) v DDL(0),4422,1474,1474,1474,-2759
LRR(1/3) v MDR(0),3695,1231,1231,1231,-5832
LLR(1/3) v DLL(0),6591,2197,2197,2197,-3805
MDD(1/3) v MMM(0),5190,1730,1730,1730,-3382
MDL(1/3) v MRR(0),4137,1379,1379,1379,-7869
DLR(1/3) v MRL(0),8254,2751,2751,2751,-5490
MDR(1/3) v MLL(0),5565,1855,1855,1855,-3654
LLR(1/3) v RRR(0),2762,920,920,920,-8375
MDR(1/3) v MMD(0),6385,2128,2128,2128,-3475
DLR(1/3) v MDR(0),7319,2439,2439,2439,-5474
DLL(1/3) v MLR(0),4826,1608,1608,1608,-5769
DLR(1/3) v DDL(0),5783,1927,1927,1927,-3426
MDR(1/3) v MLR(0),4417,1472,1472,1472,-5343
LRR(1/3) v DLL(0),3626,1208,1208,1208,-2551
MLR(1/3) v MRR(0),3254,1084,1084,1084,-6545
MDL(1/3) v MLR(0),8090,2696,2696,2696,-6028
MLR(1/3) v DDD(0),5841,1947,1947,1947,-4990
MDR(1/3) v MMR(0),5841,1947,1947,1947,-4990
MMR(1/3) v MDR(0),6372,2124,2124,2124,-5458
MLR(1/3) v MLR(0),4099,1366,1366,1366,-6532
MDD(1/3) v LLR(0),7236,2412,2412,2412,-5866
MDL(1/3) v LDR(0),5958,1986,1986,1986,-5804
MDD(1/3) v MLL(0),5301,1767,1767,1767,-3593
MDR(1/3) v LDR(0),5961,1987,1987,1987,-5866
MLR(1/3) v MDD(0),7494,2498,2498,2498,-3701
LLR(1/3) v MML(0),5992,1997,1997,1997,-3851
MDR(1/3) v DLL(0),5901,1967,1967,1967,-3486
DLR(1/3) v MDL(0),6719,2239,2239,2239,-3683
