P,x,x1,x2,x3,y
LR(0.5) v DL(0.5),849,424,424,0,-633
MD(0.5) v LR(0.5),3674,1837,1837,0,-4432
DL(0.5) v DD(0.5),1583,791,791,0,-1125
ML(0.5) v MM(0.5),1677,838,838,0,-1139
MR(0.5) v LL(0.5),635,317,317,0,-484
MM(0.5) v MM(0.5),1195,597,597,0,-916
LR(0.5) v DD(0.5),995,497,497,0,-740
LL(0.5) v MR(0.5),3585,1792,1792,0,-4509
RR(0.5) v ML(0.5),393,196,196,0,-288
MD(0.5) v MD(0.5),1458,729,729,0,-1023
DR(0.5) v DD(0.5),909,454,454,0,-650
RL(0.5) v RR(0.5),2510,1255,1255,0,-6526
ML(0.5) v LR(0.5),3372,1686,1686,0,-4102
LR(0.5) v DR(0.5),2615,1307,1307,0,-3545
DR(0.5) v MR(0.5),3123,1561,1561,0,-4502
ML(0.5) v DL(0.5),1435,717,717,0,-976
MD(0.5) v LR(0.5),3921,1960,1960,0,-4581
DD(0.5) v MM(0.5),1187,593,593,0,-854
DD(0.5) v RL(0.5),5126,2563,2563,0,-4645
MR(0.5) v LR(0.5),3038,1519,1519,0,-4213
MMM(1/3) v LRR(1/3),7459,2486,2486,2486,-6323
DDD(1/3) v DRR(1/3),7118,2372,2372,2372,-7399
LLL(1/3) v DDD(1/3),5811,1937,1937,1937,-2496
RRR(1/3) v MMM(1/3),1899,633,633,633,-816
MLL(1/3) v DRR(1/3),7407,2469,2469,2469,-6486
MMD(1/3) v MMM(1/3),3867,1289,1289,1289,-1737
MML(1/3) v MDR(1/3),6909,2303,2303,2303,-5225
LLD(1/3) v LRR(1/3),6810,2270,2270,2270,-6587
DDL(1/3) v LDR(1/3),7293,2431,2431,2431,-4809
MMR(1/3) v LLL(1/3),4214,1404,1404,1404,-1796
MMR(1/3) v DDD(1/3),3718,1239,1239,1239,-1643
DDR(1/3) v DRL(1/3),5915,1971,1971,1971,-4855
DRR(1/3) v DDL(1/3),3675,1225,1225,1225,-1646
LRR(1/3) v MDR(1/3),4647,1549,1549,1549,-4302
LLR(1/3) v DLL(1/3),3484,1161,1161,1161,-1559
MDD(1/3) v MMM(1/3),4101,1367,1367,1367,-1784
MDL(1/3) v MRR(1/3),3989,1329,1329,1329,-7763
DLR(1/3) v MRL(1/3),5338,1779,1779,1779,-4493
MDR(1/3) v MLL(1/3),3696,1232,1232,1232,-1557
LLR(1/3) v RRR(1/3),3708,1236,1236,1236,-8009
MDR(1/3) v MMD(1/3),3901,1300,1300,1300,-1750
DLR(1/3) v MDR(1/3),6575,2191,2191,2191,-5171
DLL(1/3) v MLR(1/3),6916,2305,2305,2305,-4864
DLR(1/3) v DDL(1/3),4236,1412,1412,1412,-1851
MDR(1/3) v MLR(1/3),7083,2361,2361,2361,-5017
LRR(1/3) v DLL(1/3),3047,1015,1015,1015,-1295
MLR(1/3) v MRR(1/3),4425,1475,1475,1475,-6285
MDL(1/3) v MLR(1/3),6434,2144,2144,2144,-4471
MLR(1/3) v DDD(1/3),4569,1523,1523,1523,-1951
MDR(1/3) v MMR(1/3),5801,1933,1933,1933,-4539
MMR(1/3) v MDR(1/3),6336,2112,2112,2112,-4211
MLR(1/3) v MLR(1/3),9692,3230,3230,3230,-6177
MDD(1/3) v LLR(1/3),7910,2636,2636,2636,-4902
MDL(1/3) v LDR(1/3),8287,2762,2762,2762,-5137
MDD(1/3) v MLL(1/3),3931,1310,1310,1310,-1749
MDR(1/3) v LDR(1/3),6852,2284,2284,2284,-4800
MLR(1/3) v MDD(1/3),4604,1534,1534,1534,-1964
LLR(1/3) v MML(1/3),4268,1422,1422,1422,-1827
MDR(1/3) v DLL(1/3),3751,1250,1250,1250,-1646
DLR(1/3) v MDL(1/3),4270,1423,1423,1423,-1856
