P,x,x1,x2,x3,y
LR(0.5) v DL(1),427,213,213,0,-340
MD(0.5) v LR(1),3184,1592,1592,0,-4020
DL(0.5) v DD(1),831,415,415,0,-622
ML(0.5) v MM(1),499,249,249,0,-412
MR(0.5) v LL(1),388,194,194,0,-309
MM(0.5) v MM(1),764,382,382,0,-596
LR(0.5) v DD(1),481,240,240,0,-354
LL(0.5) v MR(1),4090,2045,2045,0,-4519
RR(0.5) v ML(1),177,88,88,0,-152
MD(0.5) v MD(1),758,379,379,0,-580
DR(0.5) v DD(1),503,251,251,0,-396
RL(0.5) v RR(1),2447,1223,1223,0,-5453
ML(0.5) v LR(1),3167,1583,1583,0,-4356
LR(0.5) v DR(1),2342,1171,1171,0,-3236
DR(0.5) v MR(1),3071,1535,1535,0,-3050
ML(0.5) v DL(1),792,396,396,0,-606
MD(0.5) v LR(1),3042,1521,1521,0,-3754
DD(0.5) v MM(1),756,378,378,0,-616
DD(0.5) v RL(1),5234,2617,2617,0,-4946
MR(0.5) v LR(1),2549,1274,1274,0,-3791
MMM(1/3) v LRR(1),3694,1231,1231,1231,-5246
DDD(1/3) v DRR(1),4365,1455,1455,1455,-5153
LLL(1/3) v DDD(1),1779,593,593,593,-833
RRR(1/3) v MMM(1),1461,487,487,487,-625
MLL(1/3) v DRR(1),3798,1266,1266,1266,-5279
MMD(1/3) v MMM(1),1677,559,559,559,-838
MML(1/3) v MDR(1),5243,1747,1747,1747,-4203
LLD(1/3) v LRR(1),3554,1184,1184,1184,-6566
DDL(1/3) v LDR(1),4112,1370,1370,1370,-3360
MMR(1/3) v LLL(1),1446,482,482,482,-662
MMR(1/3) v DDD(1),1634,544,544,544,-750
DDR(1/3) v DRL(1),3123,1041,1041,1041,-3315
DRR(1/3) v DDL(1),1218,406,406,406,-562
LRR(1/3) v MDR(1),2158,719,719,719,-3646
LLR(1/3) v DLL(1),1552,517,517,517,-734
MDD(1/3) v MMM(1),1599,533,533,533,-792
MDL(1/3) v MRR(1),4549,1516,1516,1516,-5186
DLR(1/3) v MRL(1),2447,815,815,815,-2953
MDR(1/3) v MLL(1),1599,533,533,533,-764
LLR(1/3) v RRR(1),2813,937,937,937,-8634
MDR(1/3) v MMD(1),1324,441,441,441,-634
DLR(1/3) v MDR(1),3754,1251,1251,1251,-3621
DLL(1/3) v MLR(1),3659,1219,1219,1219,-3459
DLR(1/3) v DDL(1),1499,499,499,499,-706
MDR(1/3) v MLR(1),2948,982,982,982,-4073
LRR(1/3) v DLL(1),1244,414,414,414,-569
MLR(1/3) v MRR(1),3506,1168,1168,1168,-5552
MDL(1/3) v MLR(1),4545,1515,1515,1515,-3770
MLR(1/3) v DDD(1),1197,399,399,399,-584
MDR(1/3) v MMR(1),4935,1645,1645,1645,-3425
MMR(1/3) v MDR(1),2956,985,985,985,-3802
MLR(1/3) v MLR(1),2142,714,714,714,-3125
MDD(1/3) v LLR(1),6172,2057,2057,2057,-4242
MDL(1/3) v LDR(1),6252,2084,2084,2084,-4317
MDD(1/3) v MLL(1),1670,556,556,556,-826
MDR(1/3) v LDR(1),3470,1156,1156,1156,-2959
MLR(1/3) v MDD(1),1674,558,558,558,-793
LLR(1/3) v MML(1),1638,546,546,546,-768
MDR(1/3) v DLL(1),1810,603,603,603,-815
DLR(1/3) v MDL(1),1797,599,599,599,-828
