y,x
2384,-6025
7459,-6323
11854,-9591
2497,-4889
7118,-7399
17513,-10631
2298,-1002
5811,-2496
9712,-3954
2257,-867
1899,-816
2165,-831
2532,-4857
7407,-6486
17852,-9912
2243,-954
3867,-1737
8274,-3210
2617,-3335
6909,-5225
15854,-7087
2280,-5587
6810,-6587
17267,-10457
2344,-953
7293,-4809
14125,-6715
2344,-953
4214,-1796
6821,-2667
2171,-954
3718,-1643
7667,-3101
2866,-3173
5915,-4855
9629,-5912
2125,-907
3675,-1646
4426,-1759
2403,-3333
4647,-4302
6179,-3843
2175,-921
3484,-1559
6691,-2821
2068,-910
4101,-1784
9576,-3835
2269,-6700
3989,-7763
16164,-10291
2655,-2864
5338,-4493
9123,-6461
2292,-947
3696,-1557
5435,-2277
1992,-7924
3708,-8009
8167,-9833
2191,-918
3901,-1750
6590,-2658
2444,-3537
6575,-5171
9751,-5643
2659,-3257
6916,-4864
14517,-8157
2158,-904
4236,-1851
6224,-2681
3090,-2516
7083,-5017
10572,-6306
2126,-860
3047,-1295
4952,-1955
2177,-5360
4425,-6285
10825,-8679
2861,-4211
6434,-4471
13124,-6850
2306,-978
4569,-1951
8308,-3371
2690,-3160
5801,-4539
11567,-7073
2649,-3154
6336,-4211
11938,-7223
2543,-3332
9692,-6177
11172,-6681
3113,-2852
7910,-4902
16584,-7966
2656,-4447
8287,-5137
11959,-6362
2054,-890
3931,-1749
8358,-3396
2798,-3272
6852,-4800
12660,-6658
1994,-862
4604,-1964
8615,-3395
2357,-975
4268,-1827
6608,-2622
2413,-1005
3751,-1646
6707,-2649
2187,-922
4270,-1856
6511,-2609
294,-228
849,-633
976,-661
898,-2565
3674,-4432
6237,-6159
295,-237
1583,-1125
2519,-1598
370,-273
1677,-1139
1855,-1266
297,-217
635,-484
990,-680
329,-244
1195,-916
1863,-1257
369,-266
995,-740
1300,-868
928,-2824
3585,-4509
8409,-5896
294,-219
393,-288
333,-230
272,-221
1458,-1023
1917,-1261
329,-251
909,-650
1069,-717
567,-4258
2510,-6526
4194,-7276
1241,-2899
3372,-4102
7354,-6526
667,-2521
2615,-3545
2408,-3220
836,-2177
3123,-4502
2536,-4036
400,-287
1435,-976
2006,-1378
1046,-2743
3921,-4581
8418,-6310
326,-249
1187,-854
1710,-1077
765,-3016
5126,-4645
6242,-5440
677,-2312
3038,-4213
2822,-3720
