x,y
3863,-3111
976,-661
723,-494
7953,-8063
6237,-6159
5611,-5367
8619,-5915
2519,-1598
1438,-973
9850,-6386
1855,-1266
1239,-880
3608,-3159
990,-680
496,-371
9919,-6465
1863,-1257
1113,-769
3620,-3004
1300,-868
648,-439
7609,-7648
8409,-5896
6859,-5446
649,-1349
333,-230
218,-163
5812,-4658
1917,-1261
1179,-824
4769,-3749
1069,-717
633,-450
4450,-7219
4194,-7276
4109,-6828
6136,-7241
7354,-6526
7080,-6005
2478,-6242
2408,-3220
4605,-4169
4525,-6723
2536,-4036
3899,-4206
9002,-6126
2006,-1378
1244,-873
7781,-8012
8418,-6310
6388,-5851
7474,-5526
1710,-1077
1018,-717
7089,-7949
6242,-5440
4764,-4564
4284,-5640
2822,-3720
3686,-4220
12167,-10896
11854,-9591
9917,-7145
14807,-11301
17513,-10631
13211,-9269
17686,-7905
9712,-3954
5167,-2137
2509,-1897
2165,-831
1512,-612
11728,-10786
17852,-9912
8727,-7883
16006,-7298
8274,-3210
4880,-2130
15146,-8702
15854,-7087
8605,-5170
14125,-10150
17267,-10457
8755,-7308
16874,-9445
14125,-6715
7206,-4862
11275,-5660
6821,-2667
3233,-1336
13644,-6137
7667,-3101
3416,-1436
12392,-7600
9629,-5912
9689,-5852
7268,-3632
4426,-1759
1931,-791
6954,-5119
6179,-3843
4861,-3243
13343,-5939
6691,-2821
3004,-1246
18614,-7963
9576,-3835
3894,-1738
10404,-7605
16164,-10291
9353,-6830
10404,-7605
9123,-6461
6397,-4067
13055,-6161
5435,-2277
3006,-1215
6495,-9892
8167,-9833
8302,-11234
13045,-5935
6590,-2658
3203,-1305
13279,-7774
9751,-5643
5444,-3505
17349,-9025
14517,-8157
6385,-5155
5783,-3426
4236,-1851
1499,-706
12957,-8294
10572,-6306
4108,-4344
6883,-3327
4952,-1955
2308,-905
7555,-9690
10825,-8679
8289,-7095
16588,-9400
13124,-6850
6142,-4676
12576,-5938
8308,-3371
3292,-1374
14298,-8122
11567,-7073
6039,-4084
10208,-7109
11938,-7223
4773,-4751
11377,-7629
11172,-6681
6034,-4284
19142,-9316
16584,-7966
9733,-5261
18368,-9196
11959,-6362
6870,-5027
18591,-7811
8358,-3396
4278,-1905
13593,-8014
12660,-6658
6177,-3602
14720,-6349
8615,-3395
2898,-1258
11977,-5825
6608,-2622
3169,-1344
13202,-6351
6707,-2649
3061,-1276
10737,-5144
6511,-2609
3033,-1223
