P,x,x1,x2,x3,y
LR(1) v DL(0),3863,3352,510,0,-3111
MD(1) v LR(0),7953,3775,4178,0,-8063
DL(1) v DD(0),8619,4329,4289,0,-5915
ML(1) v MM(0),9850,5110,4740,0,-6386
MR(1) v LL(0),3608,3141,466,0,-3159
MM(1) v MM(0),9919,5087,4831,0,-6465
LR(1) v DD(0),3620,3143,477,0,-3004
LL(1) v MR(0),7609,4070,3538,0,-7648
RR(1) v ML(0),649,266,383,0,-1349
MD(1) v MD(0),5812,3220,2591,0,-4658
DR(1) v DD(0),4769,4245,523,0,-3749
RL(1) v RR(0),4450,443,4007,0,-7219
ML(1) v LR(0),6136,2725,3411,0,-7241
LR(1) v DR(0),2478,2094,383,0,-6242
DR(1) v MR(0),4525,4025,499,0,-6723
ML(1) v DL(0),9002,4450,4551,0,-6126
MD(1) v LR(0),7781,3923,3858,0,-8012
DD(1) v MM(0),7474,4106,3367,0,-5526
DD(1) v RL(0),7089,3457,3632,0,-7949
MR(1) v LR(0),4284,3796,488,0,-5640
MMM(1) v LRR(0),12167,3389,4236,4541,-10896
DDD(1) v DRR(0),14807,4154,6236,4417,-11301
LLL(1) v DDD(0),17686,5683,6311,5692,-7905
RRR(1) v MMM(0),2509,807,844,858,-1897
MLL(1) v DRR(0),11728,4219,3915,3594,-10786
MMD(1) v MMM(0),16006,5127,5662,5217,-7298
MML(1) v MDR(0),15146,5040,4907,5198,-8702
LLD(1) v LRR(0),14125,4784,4703,4637,-10150
DDL(1) v LDR(0),16874,4902,5247,6724,-9445
MMR(1) v LLL(0),11275,5115,5039,1120,-5660
MMR(1) v DDD(0),13644,6009,6571,1063,-6137
DDR(1) v DRL(0),12392,5957,5412,1023,-7600
DRR(1) v DDL(0),7268,5224,1056,987,-3632
LRR(1) v MDR(0),6954,5079,892,982,-5119
LLR(1) v DLL(0),13343,5956,6264,1122,-5939
MDD(1) v MMM(0),18614,6133,6740,5741,-7963
MDL(1) v MRR(0),10404,5036,4418,950,-7605
DLR(1) v MRL(0),10404,5036,4418,950,-7605
MDR(1) v MLL(0),13055,4796,7182,1076,-6161
LLR(1) v RRR(0),6495,2024,3683,787,-9892
MDR(1) v MMD(0),13045,5601,6266,1177,-5935
DLR(1) v MDR(0),13279,6745,5453,1080,-7774
DLL(1) v MLR(0),17349,5934,5689,5725,-9025
DLR(1) v DDL(0),11123,4964,5156,1001,-5291
MDR(1) v MLR(0),12957,5978,5920,1058,-8294
LRR(1) v DLL(0),6883,4767,1042,1074,-3327
MLR(1) v MRR(0),7555,4265,2424,865,-9690
MDL(1) v MLR(0),16588,5182,5906,5498,-9400
MLR(1) v DDD(0),12576,5667,5713,1196,-5938
MDR(1) v MMR(0),14298,6159,7002,1135,-8122
MMR(1) v MDR(0),10208,4729,4522,956,-7109
MLR(1) v MLR(0),11377,5530,4823,1022,-7629
MDD(1) v LLR(0),19142,5635,6977,6529,-9316
MDL(1) v LDR(0),18368,5765,6775,5827,-9196
MDD(1) v MLL(0),18591,5868,6838,5885,-7811
MDR(1) v LDR(0),13593,6661,5808,1122,-8014
MLR(1) v MDD(0),14720,6563,6979,1176,-6349
LLR(1) v MML(0),11977,5902,4912,1163,-5825
MDR(1) v DLL(0),13202,5342,6688,1171,-6351
DLR(1) v MDL(0),10737,5100,4561,1075,-5144
