P,x,x1,x2,x3,y
LR(1) v DL(0.5),976,680,295,0,-661
MD(1) v LR(0.5),6237,4290,1946,0,-6159
DL(1) v DD(0.5),2519,1183,1335,0,-1598
ML(1) v MM(0.5),1855,896,958,0,-1266
MR(1) v LL(0.5),990,657,332,0,-680
MM(1) v MM(0.5),1863,1023,840,0,-1257
LR(1) v DD(0.5),1300,892,407,0,-868
LL(1) v MR(0.5),8409,4743,3665,0,-5896
RR(1) v ML(0.5),333,182,150,0,-230
MD(1) v MD(0.5),1917,968,948,0,-1261
DR(1) v DD(0.5),1069,747,322,0,-717
RL(1) v RR(0.5),4194,463,3731,0,-7276
ML(1) v LR(0.5),7354,3482,3871,0,-6526
LR(1) v DR(0.5),2408,1985,422,0,-3220
DR(1) v MR(0.5),2536,2183,353,0,-4036
ML(1) v DL(0.5),2006,1057,948,0,-1378
MD(1) v LR(0.5),8418,4351,4066,0,-6310
DD(1) v MM(0.5),1710,807,903,0,-1077
DD(1) v RL(0.5),6242,4255,1987,0,-5440
MR(1) v LR(0.5),2822,2422,400,0,-3720
MMM(1) v LRR(1/3),11854,3640,4313,3900,-9591
DDD(1) v DRR(1/3),17513,5183,6534,5795,-10631
LLL(1) v DDD(1/3),9712,3075,3277,3360,-3954
RRR(1) v MMM(1/3),2165,595,812,758,-831
MLL(1) v DRR(1/3),17852,5145,5489,7218,-9912
MMD(1) v MMM(1/3),8274,3156,2771,2347,-3210
MML(1) v MDR(1/3),15854,7414,4310,4129,-7087
LLD(1) v LRR(1/3),17267,5677,5191,6398,-10457
DDL(1) v LDR(1/3),14125,3812,6135,4177,-6715
MMR(1) v LLL(1/3),6821,3098,2869,853,-2667
MMR(1) v DDD(1/3),7667,3264,3448,953,-3101
DDR(1) v DRL(1/3),9629,3816,4771,1041,-5912
DRR(1) v DDL(1/3),4426,2579,858,989,-1759
LRR(1) v MDR(1/3),6179,4365,865,948,-3843
LLR(1) v DLL(1/3),6691,2569,2994,1127,-2821
MDD(1) v MMM(1/3),9576,3681,2749,3144,-3835
MDL(1) v MRR(1/3),16164,5820,5874,4469,-10291
DLR(1) v MRL(1/3),9123,4250,3836,1036,-6461
MDR(1) v MLL(1/3),5435,2550,2094,791,-2277
LLR(1) v RRR(1/3),8167,3569,3768,829,-9833
MDR(1) v MMD(1/3),6590,3204,2461,924,-2658
DLR(1) v MDR(1/3),9751,3784,4923,1042,-5643
DLL(1) v MLR(1/3),14517,3909,4584,6023,-8157
DLR(1) v DDL(1/3),6224,2290,3019,915,-2681
MDR(1) v MLR(1/3),10572,5041,4482,1048,-6306
LRR(1) v DLL(1/3),4952,3224,921,805,-1955
MLR(1) v MRR(1/3),10825,5243,4572,1009,-8679
MDL(1) v MLR(1/3),13124,3965,4965,4194,-6850
MLR(1) v DDD(1/3),8308,3281,3850,1176,-3371
MDR(1) v MMR(1/3),11567,4321,6074,1171,-7073
MMR(1) v MDR(1/3),11938,4682,6310,945,-7223
MLR(1) v MLR(1/3),11172,5360,4828,984,-6681
MDD(1) v LLR(1/3),16584,6555,3917,6110,-7966
MDL(1) v LDR(1/3),11959,5490,3342,3125,-6362
MDD(1) v MLL(1/3),8358,3548,2035,2774,-3396
MDR(1) v LDR(1/3),12660,7237,4427,995,-6658
MLR(1) v MDD(1/3),8615,3965,3733,916,-3395
LLR(1) v MML(1/3),6608,2806,2768,1033,-2622
MDR(1) v DLL(1/3),6707,2743,3032,932,-2649
DLR(1) v MDL(1/3),6511,2350,3196,964,-2609
