P,x,x1,x2,x3,y
LR(1) v DL(1),723,479,243,0,-494
MD(1) v LR(1),5611,2913,2697,0,-5367
DL(1) v DD(1),1438,641,797,0,-973
ML(1) v MM(1),1239,599,639,0,-880
MR(1) v LL(1),496,365,131,0,-371
MM(1) v MM(1),1113,576,537,0,-769
LR(1) v DD(1),648,474,173,0,-439
LL(1) v MR(1),6859,3363,3496,0,-5446
RR(1) v ML(1),218,94,124,0,-163
MD(1) v MD(1),1179,614,565,0,-824
DR(1) v DD(1),633,479,153,0,-450
RL(1) v RR(1),4109,401,3708,0,-6828
ML(1) v LR(1),7080,3514,3566,0,-6005
LR(1) v DR(1),4605,4222,382,0,-4169
DR(1) v MR(1),3899,3555,343,0,-4206
ML(1) v DL(1),1244,565,679,0,-873
MD(1) v LR(1),6388,3236,3152,0,-5851
DD(1) v MM(1),1018,537,481,0,-717
DD(1) v RL(1),4764,2958,1805,0,-4564
MR(1) v LR(1),3686,3318,368,0,-4220
MMM(1) v LRR(1),9917,5018,1998,2900,-7145
DDD(1) v DRR(1),13211,3318,6235,3657,-9269
LLL(1) v DDD(1),5167,1659,1597,1911,-2137
RRR(1) v MMM(1),1512,580,575,357,-612
MLL(1) v DRR(1),8727,4874,2384,1469,-7883
MMD(1) v MMM(1),4880,1974,1621,1285,-2130
MML(1) v MDR(1),8605,2919,3305,2379,-5170
LLD(1) v LRR(1),8755,2162,3200,3392,-7308
DDL(1) v LDR(1),7206,2230,1585,3390,-4862
MMR(1) v LLL(1),3233,1380,981,871,-1336
MMR(1) v DDD(1),3416,1385,1403,626,-1436
DDR (1)v DRL(1),9689,3404,5463,821,-5852
DRR(1) v DDL(1),1931,947,542,441,-791
LRR(1) v MDR(1),4861,3398,722,740,-3243
LLR(1) v DLL(1),3004,1006,1351,646,-1246
MDD(1) v MMM(1),3894,1547,1125,1221,-1738
MDL(1) v MRR(1),9353,3332,1767,4253,-6830
DLR(1) v MRL(1),6397,1535,3940,921,-4067
MDR(1) v MLL(1),3006,1397,855,753,-1215
LLR(1) v RRR(1),8302,2807,4541,953,-11234
MDR(1) v MMD(1),3203,1491,1006,704,-1305
DLR(1) v MDR(1),5444,1683,2939,821,-3505
DLL(1) v MLR(1),6385,2468,2263,1653,-5155
DLR (1)v DDL(1),2903,1083,1246,574,-1209
MDR(1) v MLR(1),4108,1547,1654,907,-4344
LRR(1) v DLL(1),2308,1144,615,548,-905
MLR(1) v MRR(1),8289,5085,2315,888,-7095
MDL(1) v MLR(1),6142,2329,1589,2223,-4676
MLR(1) v DDD(1),3292,1361,1395,535,-1374
MDR(1) v MMR(1),6039,3234,1901,904,-4084
MMR(1) v MDR(1),4773,2126,1889,757,-4751
MLR(1) v MLR(1),6034,3063,2131,838,-4284
MDD(1) v LLR(1),9733,2516,5513,1703,-5261
MDL(1) v LDR(1),6870,2746,2038,2086,-5027
MDD(1) v MLL(1),4278,1588,1360,1328,-1905
MDR(1) v LDR(1),6177,3818,1513,844,-3602
MLR(1) v MDD(1),2898,1222,1153,522,-1258
LLR(1) v MML(1),3169,1194,1393,581,-1344
MDR(1) v DLL(1),3061,1211,1142,707,-1276
DLR(1) v MDL(1),3033,1020,1348,663,-1223
