y,x
2220,-4219
3694,-5246
9917,-7145
1720,-6576
4365,-5153
13211,-9269
1253,-547
1779,-833
5167,-2137
1719,-665
1461,-625
1512,-612
1729,-5167
3798,-5279
8727,-7883
1287,-574
1677,-838
4880,-2130
1597,-2391
5243,-4203
8605,-5170
1960,-4567
3554,-6566
8755,-7308
1728,-2155
4112,-3360
7206,-4862
1537,-598
1446,-662
3233,-1336
1207,-520
1634,-750
3416,-1436
1598,-3145
3123,-3315
9689,-5852
1240,-523
1218,-562
1931,-791
1537,-2701
2158,-3646
4861,-3243
1181,-498
1552,-734
3004,-1246
1305,-564
1599,-792
3894,-1738
2029,-5335
4549,-5186
9353,-6830
1826,-2625
2447,-2953
6397,-4067
1329,-546
1599,-764
3006,-1215
2090,-6072
2813,-8634
8302,-11234
1499,-619
1324,-634
3203,-1305
1723,-2725
3754,-3621
5444,-3505
1883,-2428
3659,-3459
6385,-5155
1177,-516
1499,-706
2903,-1209
1681,-2916
2948,-4073
4108,-4344
1213,-506
1244,-569
2308,-905
2085,-4765
3506,-5552
8289,-7095
1658,-2439
4545,-3770
6142,-4676
1089,-491
1197,-584
3292,-1374
1690,-2372
4935,-3425
6039,-4084
1584,-2576
2956,-3802
4773,-4751
1939,-2416
2142,-3125
6034,-4284
1518,-3432
6172,-4242
9733,-5261
1659,-2693
6252,-4317
6870,-5027
1212,-531
1670,-826
4278,-1905
1763,-2453
3470,-2959
6177,-3602
1209,-527
1674,-793
2898,-1258
1366,-576
1638,-768
3169,-1344
1300,-531
1810,-815
3061,-1276
1468,-604
1797,-828
3033,-1223
170,-141
427,-340
723,-494
412,-2632
3184,-4020
5611,-5367
240,-190
831,-622
1438,-973
182,-156
499,-412
1239,-880
206,-169
388,-309
496,-371
176,-165
764,-596
1113,-769
214,-178
481,-354
648,-439
447,-2414
4090,-4519
6859,-5446
195,-155
177,-152
218,-163
206,-180
758,-580
1179,-824
197,-184
503,-396
633,-450
596,-4639
2447,-5453
4109,-6828
499,-2684
3167,-4356
7080,-6005
393,-2510
2342,-3236
4605,-4169
358,-2979
3071,-3050
3899,-4206
219,-176
792,-606
1244,-873
449,-1941
3042,-3754
6388,-5851
200,-174
756,-616
1018,-717
474,-1939
5234,-4946
4764,-4564
415,-2378
2549,-3791
3686,-4220
